category,faam_property,type,value,qualifiers,base_url
metadata,label,string,"Missa ""secunda"": ad quatuor voces inaequales",,
metadata,description,string,,,
metadata,id,id,K3KQ2NJU,,
metadata,nodegoat_id,id,15992785,,
metadata,FAAM manifestation ID,id,BSB-991077342629707356,,
metadata,call number,string,2 Mus.pr. 2039,,
metadata,score format,item,ktjyHrtb,,
metadata,score complexity,item,iTQMfTAE,,
statements,date,date,1869,,
statements,date,date,1870,,
statements,editorial annotation,item,LiFYdNgN,,
statements,editorial annotation,item,ZGMagNYo,,
statements,editorial annotation,item,J6ERsasy,,
statements,editorial annotation,item,eviEKifd,,
statements,editorial annotation,item,WtvibJFF,,
statements,editorial annotation,item,UDva945b,,
statements,editorial annotation,item,e9t5BdLA,,
statements,editorial annotation,item,2iBnpzus,,
statements,editorial annotation,item,gSHSbZQr,,
statements,editorial annotation,item,F9XSfSvU,,
statements,editorial annotation,item,3ts8CrNB,,
statements,editorial annotation,item,c5cZmF37,,
statements,editorial annotation,item,ULbwT6u4,,
statements,editorial annotation,item,3Vvybq56,,
statements,editorial annotation,item,AeKhRWCB,,
statements,editorial annotation,item,WT9AcUBt,,
statements,editorial annotation,item,Skma2JzR,,
statements,editorial annotation,item,3WB3MVBB,,
statements,editorial annotation,item,WuWcWk4u,,
statements,provenance,item,FDCuefHz,,
statements,keyword,item,FSduWvy5,,
statements,keyword,item,2FQ4SCuS,,
statements,keyword,item,oQTyk8An,,
statements,keyword,item,MEjPi9ot,,
statements,keyword,item,MaWnCnVw,,
statements,keyword,item,jTMjFsDj,,
statements,instrumentation,item,KJkThvsq,,
statements,instrumentation,item,5yLc7bQJ,,
statements,musical work,item,dLQR6VEa,,
statements,agent,statement,Cc62uBpv,fkHJwpoD||,
statements,agent,statement,DnCFCwbG,45qo3Fj3||1869,
statements,agent,statement,hfcCTJ9G,GBgJfRbK||1870,
statements,role,item,fkHJwpoD,,
statements,role,item,45qo3Fj3,,
statements,role,item,GBgJfRbK,,
resources,thumb,image,BSB-991077342629707356.gif,,../assets/images/thumbs/
