category,faam_property,type,value,base_url,label
metadata,label,string,Simon Sechter,,
metadata,description,string,Austrian composer,,
metadata,id,id,KEtoxXa7,,
metadata,nodegoat_id,id,0,,
metadata,qid,externalid,Q582713,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,8180432,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/146859,https://rism.online/,
statements,IMSLP ID,externalid,"Category:Sechter,_Simon",https://imslp.org/wiki/,
statements,date of birth,date,1788-10-11,,
statements,date of birth,date,1788-11-11,,
statements,date of death,date,1867-09-10,,
statements,instance of,item,ZwquHrbe,,human
statements,occupation,item,KZLqHwSf,,composer
statements,occupation,item,2KT5AU2p,,conductor
statements,occupation,item,YYyZX3aY,,musicologist
statements,occupation,item,Ygb8LLjd,,pedagogue
statements,occupation,item,6XD3homi,,music educator
statements,occupation,item,N3DQMCdv,,music theorist
statements,occupation,item,ZX7Jzf9y,,university teacher
statements,occupation,item,RHfvaKqY,,pianist
statements,occupation,item,Wm5MWZbA,,teacher
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,FPDTfb7a,,Austrian Empire
statements,place of birth,item,XU87N4Fv,,Frymburk
statements,place of death,item,LD8HW7Tp,,Vienna
statements,instrument,item,GoXpNrsh,,piano
statements,instrument,item,RXg4snEH,,organ
statements,influenced by,item,EtNwipgc,,
statements,employer,item,hn6sVeFM,,University of Music and Performing Arts Vienna
resources,image,image,Sechter.jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/,
