category,faam_property,type,value,base_url
metadata,label,string,Province of Antwerp,
metadata,description,string,"province in Flanders, Belgium",
metadata,id,id,LYDfbSYJ,
metadata,nodegoat_id,id,0,
metadata,qid,externalid,Q1116,http://wwww.wikidata.org/entity/
metadata,aliases,string,Province of Antwerp,
metadata,aliases,string,Antwerp,
metadata,aliases,string,Antwerp (province),
metadata,aliases,string,Antwerpen,
metadata,aliases,string,BE-VAN,
statements,GeoNames ID,externalid,2803136,https://www.geonames.org/
