category,faam_property,type,value,base_url,label
metadata,label,string,Victor Dourlen,,
metadata,description,string,French composer and pedagogue,,
metadata,nodegoat_id,id,0,,
metadata,qid,externalid,Q706096,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,66730308,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/30019737,https://rism.online/,
statements,IMSLP ID,externalid,"Category:Dourlen,_Victor",https://imslp.org/wiki/,
statements,date of birth,date,1780-11-03,,
statements,date of death,date,1864-01-08,,
statements,instance of,item,ZwquHrbe,,human
statements,occupation,item,KZLqHwSf,,composer
statements,occupation,item,6XD3homi,,music educator
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,Eqo9Fq2n,,France
statements,place of birth,item,PewKvcq6,,Dunkirk
statements,place of death,item,HZJV4pgr,,17th arrondissement of Paris
statements,influenced by,item,9bPsZW9o,,François Joseph Gossec
statements,influenced by,item,WnfHS9Lr,,François Adrien Boieldieu
statements,influenced by,item,HJ6MF84e,,
statements,educated at,item,NA5EnjbE,,Conservatoire de Paris
statements,employer,item,NA5EnjbE,,Conservatoire de Paris
