category,faam_property,type,value,base_url,label
metadata,label,string,D. Appleton & Company,,
metadata,label,string,D. Appleton & Company,,
metadata,description,string,American publishing company,,
metadata,nodegoat_id,id,16004292,,
metadata,aliases,string,Robert Appleton Company,,
metadata,aliases,string,D. Appleton and Company,,
metadata,aliases,string,Appleton and Co.,,
metadata,aliases,string,D. Appleton & Co.,,
metadata,aliases,string,Appleton & Co.,,
metadata,aliases,string,Appleton,,
metadata,aliases,string,D. Appleton & Company,,
metadata,qid,externalid,Q3011053,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,129012558,https://viaf.org/viaf/,
statements,instance of,item,2fXfbLCV,,music publishing company
statements,related to,item,Vm5DPnGE,,vocal pedagogy
