category,faam_property,type,value,base_url
metadata,label,string,Neuburg an der Donau,
metadata,description,string,"city in Bavaria, Germany",
metadata,id,id,MFmrxsjA,
metadata,nodegoat_id,id,0,
metadata,qid,externalid,Q125652,http://wwww.wikidata.org/entity/
metadata,aliases,string,Neuburg an der Donau,
metadata,aliases,string,Neuburg/Donau,
metadata,aliases,string,Neuburg a.d.Donau,
statements,GeoNames ID,externalid,2866070,https://www.geonames.org/
statements,GeoNames ID,externalid,6559196,https://www.geonames.org/
