category,faam_property,type,value,base_url
metadata,label,string,arrangement,
metadata,label,string,arrangement,
metadata,description,string,musical composition in altered form,
metadata,nodegoat_id,id,15990592,
metadata,qid,externalid,Q379755,http://wwww.wikidata.org/entity/
metadata,aliases,string,music arrangement,
metadata,aliases,string,musical arrangement,
metadata,aliases,string,arranged music,
metadata,aliases,string,arrangement of music,
metadata,aliases,string,arrangement of a piece,
metadata,aliases,string,arrangement,
