category,faam_property,type,value,qualifiers,base_url
metadata,label,string,"Charlotte Corday: entre acte, valse de la scène de bal",,
metadata,description,string,,,
metadata,id,id,N4PBxGor,,
metadata,nodegoat_id,id,15992322,,
metadata,FAAM manifestation ID,id,KCA-030901609484,,
metadata,call number,string,MM-OO-BENOI-charlot-38 MM-OO-BENOI-charlot-38,,
metadata,score format,item,ktjyHrtb,,
metadata,score format,item,g5WgfTuF,,
metadata,score complexity,item,j3pK6Dqo,,
statements,date,date,1876,,
statements,handwritten annotation,item,A4NPbBsi,,
statements,handwritten annotation,item,eviEKifd,,
statements,handwritten annotation,item,bsgSL8K5,,
statements,provenance,item,6vrn9seu,,
statements,keyword,item,hxYumS2J,,
statements,keyword,item,hCL8ZYQY,,
statements,instrumentation,item,g7hgtzmM,,
statements,musical work,item,gvB7xdLy,,
statements,agent,statement,73vECvez,fkHJwpoD||1876,
statements,agent,statement,3NyookEG,45qo3Fj3||,
statements,role,item,fkHJwpoD,,
statements,role,item,45qo3Fj3,,
resources,thumb,image,KCA-030901609484.gif,,../assets/images/thumbs/
