category,faam_property,type,value,base_url,label
metadata,label,string,Félicie Rameau,,
metadata,label,string,Félicie Rameau,,
metadata,description,string,French composer,,
metadata,id,id,N7FSkmgW,,
metadata,nodegoat_id,id,16002612,,
metadata,aliases,string,Félicie Rameau,,
metadata,qid,externalid,Q122456005,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,297431253,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/30016716,https://rism.online/,
statements,date of death,date,1895,,
statements,instance of,item,ZwquHrbe,,human
statements,occupation,item,KZLqHwSf,,composer
statements,sex or gender,item,ge9ACHGn,,female
statements,nationality,item,Eqo9Fq2n,,France
resources,image,image,,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/,
