category,faam_property,type,value,base_url,label
metadata,label,string,Jules Heinz,,
metadata,description,string,,,
metadata,aliases,string,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,
metadata,nodegoat_id,id,16004123,,
statements,instance of,item,aJeJBesD,,human
statements,instance of,item,HmGw8E8i,,music publishing company
statements,role,item,7tdgMgre,,publisher
statements,related to,item,ZS9h3s2q,,vocal pedagogy
statements,occupation,item,MwhmFC4w,,music publisher
statements,nationality,item,BJqUa5Kf,,France
