category,faam_property,type,value,base_url,label
metadata,label,string,Paul Pierné,,
metadata,label,string,Paul Pierné,,
metadata,description,string,French composer (1874-1952),,
metadata,nodegoat_id,id,16005347,,
metadata,aliases,string,Paul Pierne,,
metadata,aliases,string,Paul Pierné,,
metadata,qid,externalid,Q322201,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,27263707,https://viaf.org/viaf/,
statements,IMSLP ID,externalid,"Category:Pierné,_Paul",https://imslp.org/wiki/,
statements,date of birth,date,1874-06-30,,
statements,date of death,date,1952-03-24,,
statements,instance of,item,ZwquHrbe,,human
statements,occupation,item,PGamAZRD,,organist
statements,occupation,item,KZLqHwSf,,composer
statements,occupation,item,2e3yeRss,,choreographer
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,Eqo9Fq2n,,France
statements,place of birth,item,PDouTdyD,,Metz
statements,place of death,item,NTVdRo4W,,Paris
statements,instrument,item,J32Mk8QV,,pipe organ
statements,instrument,item,RXg4snEH,,organ
statements,educated at,item,NA5EnjbE,,Conservatoire de Paris
