category,faam_property,type,value,base_url,label
metadata,label,string,chord symbol,,
metadata,label,string,chord symbol,,
metadata,description,string,system for naming chords,,
metadata,nodegoat_id,id,15992136,,
metadata,qid,externalid,Q1504804,http://wwww.wikidata.org/entity/,
metadata,aliases,string,chord name,,
metadata,aliases,string,chord names and symbols,,
metadata,aliases,string,chord symbol,,
statements,instance of,item,N2f5NSgz,,musical notation
statements,instance of,item,Sdw2foGQ,,music theory
statements,musical parameter,item,Cf64Khds,,pitch
statements,used by,item,NgFpoygv,,scholar
statements,used by,item,45qo3Fj3,,music editor
statements,used by,item,GoiPpGap,,performing artist
