category,faam_property,type,value,label,qualifiers
metadata,label,string,"Philippi de Monte. Missa ""Sine nomine"". quamocto vocibus conscriptam",,
metadata,description,string,,,
metadata,nodegoat_id,id,16002132,,
metadata,FAAM manifestation ID,id,KCG-39.OP.OMdeMonte22,,
metadata,score format,item,ktjyHrtb,Full Score,
metadata,score complexity,item,iTQMfTAE,Mechanical print,
statements,date,date,1937,,
statements,date,date,1937,,
statements,editorial annotation,item,WT9AcUBt,tempo,
statements,editorial annotation,item,aCRY7SgN,accidental,
statements,editorial annotation,item,F9XSfSvU,Musica ficta,
statements,editorial annotation,item,3ts8CrNB,musical phrasing,
statements,editorial annotation,item,9dz9ydpz,legato,
statements,editorial annotation,item,eviEKifd,dynamic,
statements,editorial annotation,item,RePdmToB,breath mark,
statements,editorial annotation,item,e9t5BdLA,decrescendo,
statements,editorial annotation,item,UDva945b,crescendo,
statements,editorial annotation,item,iWuVLJam,rallentando,
statements,editorial annotation,item,AeKhRWCB,tempo primo,
statements,handwritten annotation,item,DS9HvPwY,point in time,
statements,provenance,item,hQcqj8e8,Royal Conservatory of Ghent,
statements,keyword,item,2FQ4SCuS,polyphony,
statements,keyword,item,MEjPi9ot,choral music,
statements,keyword,item,FSduWvy5,early music,
statements,keyword,item,jTMjFsDj,Cecilian Movement,
statements,instrumentation,item,5yLc7bQJ,choir,
statements,instrumentation,item,KJkThvsq,voice,
statements,agent,statement,fNVPSqGG,Philippe de Monte,fkHJwpoD||
statements,agent,statement,T4vPoxnM,Jules Van Nuffel,45qo3Fj3||1937
statements,agent,statement,ABZnoc4f,Éditions Desclée de Brouwer,GBgJfRbK||1937
statements,role,item,fkHJwpoD,composer,
statements,role,item,45qo3Fj3,music editor,
statements,role,item,GBgJfRbK,publishing company,
