category,faam_property,type,value,base_url,label
metadata,label,string,Violin Concerto No. 4,,
metadata,label,string,"Violin Concerto No.4 in D major, K.218",,
metadata,description,string,violin concerto by Mozart,,
metadata,id,id,PXcbpwqS,,
metadata,nodegoat_id,id,16004347,,
metadata,aliases,string,Violin Concerto No. 4,,
metadata,aliases,string,Violin Concerto No. 4 in D major,,
metadata,aliases,string,K. 218,,
metadata,qid,externalid,Q1179589,http://wwww.wikidata.org/entity/,
statements,IMSLP ID,externalid,"Violin Concerto No.4 in D major, K.218 (Mozart, Wolfgang Amadeus)",https://imslp.org/wiki/,
statements,VIAF ID,externalid,180637264,https://viaf.org/viaf/,
statements,form of creative work,item,65rhe5Po,,concerto
statements,form of creative work,item,QFnkBYdA,,string music
statements,creator,item,8gZHuqVq,,Wolfgang Amadeus Mozart
statements,adapted by,item,Y4Su8bEC,,Ferdinand David
