category,faam_property,type,value,label
metadata,label,string,"L'Organiste, journal d'orgue expressif, mélodium ou harmonium",
metadata,description,string,,
metadata,nodegoat_id,id,16004273,
metadata,FAAM manifestation ID,id,BNF-42878882w,
metadata,call number,string,VM7-2332,
metadata,score format,item,ifXZogMQ,Music Treatise
metadata,score complexity,item,iTQMfTAE,Mechanical print
statements,provenance,item,Y7xwGJo8,Bibliothèque nationale de France
statements,keyword,item,FSduWvy5,early music
statements,keyword,item,A85JP7AT,organ music
statements,instrumentation,item,RXg4snEH,organ
statements,role,item,fkHJwpoD,composer
statements,role,item,GBgJfRbK,publishing company
