category,faam_property,type,value,base_url,label
metadata,label,string,Pablo de Sarasate,,
metadata,label,string,Pablo de Sarasate,,
metadata,description,string,Spanish violinist and composer (1844–1908),,
metadata,nodegoat_id,id,16002779,,
metadata,aliases,string,Martin Meliton Sarasate,,
metadata,aliases,string,Pablo Martin Meliton de Sarasate y Navascues,,
metadata,aliases,string,Pablo Martín Melitón Sarasate y Navascuéz,,
metadata,aliases,string,Pablo de Sarasate,,
metadata,qid,externalid,Q204503,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,17408844,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/30019733,https://rism.online/,
statements,IMSLP ID,externalid,"Category:Sarasate,_Pablo_de",https://imslp.org/wiki/,
statements,date of birth,date,1844-03-10,,
statements,date of death,date,1908-09-20,,
statements,instance of,item,ZwquHrbe,,human
statements,role,item,fkHJwpoD,,composer
statements,occupation,item,KZLqHwSf,,composer
statements,occupation,item,irSPevuD,,violinist
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,f4z5bdam,,Spain
statements,nationality,item,M8fLwSad,,Spain
statements,place of birth,item,ajTNNkaH,,Pamplona
statements,place of death,item,GuQhzXSr,,Biarritz
statements,instrument,item,VZE4bgeN,,violin
statements,influenced by,item,6iRRnpYK,,
statements,educated at,item,NA5EnjbE,,Conservatoire de Paris
