category,faam_property,type,value,base_url,label
metadata,label,string,Scuola Normale Superiore. Classe di Lettere e Filosofia,,
metadata,description,string,academic department,,
metadata,aliases,string,Classe di Lettere,,
metadata,aliases,string,Classe di Lettere e Filosofia,,
metadata,aliases,string,"Classe di Lettere, Storia e Filosofia",,
metadata,aliases,string,Scuola Normale Superiore. Classe di Lettere,,
metadata,aliases,string,"Scuola Normale Superiore. Classe di Lettere, Storia e Filosofia",,
metadata,qid,externalid,Q114415725,http://wwww.wikidata.org/entity/,
metadata,nodegoat_id,id,0,,
statements,country,item,fj46nffV,,Italy
