category,faam_property,type,value,base_url,label
metadata,label,string,Jacques-Nicolas Lemmens,,
metadata,label,string,Jacques-Nicolas Lemmens,,
metadata,description,string,Belgian musician (1823–1881),,
metadata,nodegoat_id,id,15995990,,
metadata,aliases,string,Jaak Nikolas Lemmens,,
metadata,aliases,string,Jacques-Nicolas Lemmens,,
metadata,qid,externalid,Q712718,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,54277272,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/30019601,https://rism.online/,
statements,IMSLP ID,externalid,"Category:Lemmens,_Jacques-Nicolas",https://imslp.org/wiki/,
statements,date of birth,date,1823-01-03,,
statements,date of death,date,1881-01-30,,
statements,instance of,item,ZwquHrbe,,human
statements,occupation,item,PGamAZRD,,organist
statements,occupation,item,KZLqHwSf,,composer
statements,occupation,item,YYyZX3aY,,musicologist
statements,occupation,item,6XD3homi,,music educator
statements,occupation,item,ZX7Jzf9y,,university teacher
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,QbfXawnE,,Belgium
statements,place of birth,item,SZmbDghY,,Westerlo
statements,place of death,item,hqLX34X7,,Zemst
statements,instrument,item,RXg4snEH,,organ
statements,influenced by,item,4tDcUzEt,,François-Joseph Fétis
statements,influenced by,item,F7UHqgWH,,
statements,educated at,item,Yj5tRovx,,Royal Conservatory of Brussels
statements,employer,item,Yj5tRovx,,Royal Conservatory of Brussels
