category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,DUO BRILLANT: composé sur les motifs de la Sonnambule de Bellini/par J. Benedict & C. De Bériot;arrangé pour flûte et piano par Tulou. : Voor fluit en piano.,,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,15992746,,,
metadata,FAAM manifestation ID,id,KCG-000333995,,,
metadata,call number,string,A1461 (8);A1461 (BIS20),,,
metadata,score format,item,XyayZhMR,,Full Score,
metadata,score format,item,guXbuHaq,,Parts,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,editorial annotation,item,D6RjeTWv,,musical expression,
statements,editorial annotation,item,EqtAuzbH,,metronome mark,
statements,editorial annotation,item,TWwN9yoM,,string harmonic,
statements,editorial annotation,item,7WfWytMV,,ritenuto,
statements,editorial annotation,item,eNyFmkHC,,fingering,
statements,editorial annotation,item,48ukXYmB,,articulation,
statements,editorial annotation,item,GepDoTXn,,string number (sul X),
statements,provenance,item,7jH33jwQ,,Library Royal Conservatoire Ghent,
statements,keyword,item,UM7y2NCo,,chamber music,
statements,keyword,item,YjEwcJzP,,duet,
statements,keyword,item,7AXGCpck,,opera,
statements,keyword,item,WiBZjkbR,,arrangement,
statements,keyword,item,mGvrzsgB,,salon music,
statements,instrumentation,item,PyGNLcfw,,piano,
statements,instrumentation,item,AdNoqEfD,,flute,
statements,instrumentation,item,G8tgNnWV,,violin,
statements,musical work,item,cndk234f,,La sonnambula,
statements,agent,statement,Xt8m8K6L,,Jean-Louis Tulou,YvQmwaaW||
statements,agent,statement,FzuLDZCr,,Vincenzo Bellini,YvQmwaaW||
statements,agent,statement,X8CowJzi,,Schott Music,7tdgMgre|bSzLPudk|
