category,faam_property,type,value,qualifiers,base_url
metadata,label,string,Le Bouquet,,
metadata,description,string,,,
metadata,id,id,R7insBVv,,
metadata,nodegoat_id,id,16005415,,
metadata,FAAM manifestation ID,id,ORP-20143702p33,,
metadata,call number,string,KTS1 H.11.map.004,,
metadata,score format,item,ktjyHrtb,,
metadata,score complexity,item,iTQMfTAE,,
statements,date,date,1853,,
statements,provenance,item,TrYWxDhL,,
statements,keyword,item,HwinuQRS,,
statements,instrumentation,item,GoXpNrsh,,
statements,instrumentation,item,KJkThvsq,,
statements,agent,statement,93MDHCVd,fkHJwpoD||,
statements,agent,statement,gjG8DbaX,GBgJfRbK|9k2MygHr|1853,
statements,role,item,fkHJwpoD,,
statements,role,item,GBgJfRbK,,
statements,place,item,9k2MygHr,,
resources,thumb,image,ORP-20143702p33.gif,,../assets/images/thumbs/
