category,faam_property,type,value,base_url,label
metadata,label,string,"Mary, Queen of Scots",,
metadata,label,string,"Mary Stuart, Queen of Scots",,
metadata,description,string,Queen of Scotland from 1542 to 1567,,
metadata,nodegoat_id,id,16004279,,
metadata,aliases,string,Alys Stuart,,
metadata,aliases,string,Mary,,
metadata,aliases,string,"Mary, Queen of Scotland",,
metadata,aliases,string,Queen Mary,,
metadata,aliases,string,Mary Stewart,,
metadata,aliases,string,"Mary Stewart, Queen of Scots",,
metadata,aliases,string,Mary Stuart,,
metadata,aliases,string,Queen of Scots Mary,,
metadata,aliases,string,"Mary, Queen of Scots",,
metadata,qid,externalid,Q131412,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,104722318,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/383962,https://rism.online/,
statements,IMSLP ID,externalid,"Category:Stuart_(Queen_of_Scots),_Mary",https://imslp.org/wiki/,
statements,date of birth,date,1542-12-08,,
statements,date of death,date,1587-02-08,,
statements,instance of,item,ZwquHrbe,,human
statements,role,item,fkHJwpoD,,composer
statements,related to,item,FSduWvy5,,early music
statements,occupation,item,gLanGdJR,,politician
statements,occupation,item,QFAgWENE,,sovereign
statements,occupation,item,GWbeMfT5,,aristocrat
statements,occupation,item,hQYtufgL,,queen regnant
statements,occupation,item,Ka45oSxR,,queen consort
statements,sex or gender,item,ge9ACHGn,,female
statements,nationality,item,MGBpLC55,,United Kingdom
statements,nationality,item,WmFDvGcW,,Kingdom of Scotland
statements,place of birth,item,Z8ZWqAEw,,Linlithgow Palace
statements,place of death,item,eKdrmvEd,,Fotheringhay Castle
statements,place of death,item,NNMcTPBx,,Northamptonshire
statements,influenced by,item,9fLT3Ekd,,
