category,faam_property,type,value,base_url,label
metadata,label,string,Louis Maes,,
metadata,label,string,Louis Maes,,
metadata,description,string,canoer,,
metadata,nodegoat_id,id,16005218,,
metadata,aliases,string,Louis Maes,,
metadata,qid,externalid,Q6687738,http://wwww.wikidata.org/entity/,
statements,date of birth,date,1913-02-06,,
statements,instance of,item,ZwquHrbe,,human
statements,occupation,item,kKHPrnzY,,canoeist
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,QbfXawnE,,Belgium
