category,faam_property,type,value,base_url,label
metadata,label,string,"Keyboard Sonata in F major, K.445",,
metadata,description,string,sonata by Domenico Scarlatti,,
metadata,aliases,string,"Keyboard Sonata in F major, L.385",,
metadata,aliases,string,Sonata K. 445,,
metadata,qid,externalid,Q78243822,http://wwww.wikidata.org/entity/,
metadata,nodegoat_id,id,16003838,,
statements,IMSLP ID,externalid,"Keyboard Sonata in F major, K.445 (Scarlatti, Domenico)",https://imslp.org/wiki/,
statements,VIAF ID,externalid,293173953,https://viaf.org/viaf/,
statements,form of creative work,item,RtkoMT89,,sonata
statements,creator,item,PXYCpRXf,,Domenico Scarlatti
statements,adapted by,item,5gAsc3pE,,Alessandro Longo
statements,adapted by,item,jm4QpjVW,,Carl Czerny
