category,faam_property,type,value,base_url,label
metadata,label,string,Hamburg,,
metadata,description,string,city and state in the North of Germany,,
metadata,aliases,string,Hamburg,,
metadata,aliases,string,Free and Hanseatic City of Hamburg,,
metadata,aliases,string,"Hamburg, Germany",,
metadata,aliases,string,"Hamburg, Freie und Hansestadt",,
metadata,qid,externalid,Q1055,http://wwww.wikidata.org/entity/,
metadata,nodegoat_id,id,31579,,
statements,GeoNames ID,externalid,2911298,https://www.geonames.org/,
statements,country,item,CTNhzr7a,,Germany
