category,faam_property,type,value,qualifiers,base_url
metadata,label,string,Sonata n° 40 (gigue en sol). Revision par Vincent d' Indy,,
metadata,description,string,,,
metadata,id,id,TtzxDPZi,,
metadata,nodegoat_id,id,16004021,,
metadata,FAAM manifestation ID,id,BNF-43257976p,,
metadata,call number,string,FOL-VM-1 (207),,
metadata,score format,item,mrQyCLJX,,
metadata,score complexity,item,iTQMfTAE,,
statements,editorial annotation,item,CPJ2a2C2,,
statements,editorial annotation,item,oPdg4LDz,,
statements,editorial annotation,item,WtvibJFF,,
statements,editorial annotation,item,6cyBEJLr,,
statements,editorial annotation,item,eviEKifd,,
statements,editorial annotation,item,Di2mC26w,,
statements,editorial annotation,item,NFazQXR2,,
statements,provenance,item,Y7xwGJo8,,
statements,keyword,item,FSduWvy5,,
statements,keyword,item,E2chmtzQ,,
statements,instrumentation,item,GoXpNrsh,,
statements,musical work,item,KhHEChdr,,
statements,agent,statement,Na5pMDjZ,fkHJwpoD||,
statements,agent,statement,miDpPEFC,GBgJfRbK||,
statements,agent,statement,mc2UEWpA,45qo3Fj3||,
statements,role,item,fkHJwpoD,,
statements,role,item,GBgJfRbK,,
statements,role,item,45qo3Fj3,,
resources,thumb,image,BNF-43257976p.gif,,../assets/images/thumbs/
