category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,Poissons d'or,,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,15992697,,,
metadata,FAAM manifestation ID,id,KCA-030904680359,,,
metadata,call number,string,MM-TP-DEBUS-images2-3,,,
metadata,score format,item,ZQLNVHnN,,Polyphonic Parts,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,editorial annotation,item,EqtAuzbH,,metronome mark,
statements,editorial annotation,item,2qoBxv5j,,performance practice,
statements,editorial annotation,item,j3tnVzW5,,diminuendo,
statements,handwritten annotation,item,hJoKsjEm,,variation,
statements,handwritten annotation,item,EXzrp8XT,,ossia,
statements,handwritten annotation,item,eNyFmkHC,,fingering,
statements,handwritten annotation,item,GpNEm7nw,,engage pedal,
statements,handwritten annotation,item,LQE77nqs,,release pedal,
statements,handwritten annotation,item,TLaaNgbw,,chronometry,
statements,handwritten annotation,item,TUdHPWU8,,alternative melody,
statements,handwritten annotation,item,gb6MiJbD,,ink stamp,
statements,provenance,item,2C9Fy8H6,,Heritage Library Royal Conservatoire Antwerp,
statements,keyword,item,6wpp746x,,programme music,
statements,keyword,item,KdGKqPWR,,piano cycle,
statements,instrumentation,item,PyGNLcfw,,piano,
statements,musical work,item,M8BuSWQa,,"Images, Book 2",
statements,agent,statement,2yHpmJQV,,Marinus de Jong,oMERLdSN||
statements,agent,statement,EzW7C9iv,,Claude Debussy,YvQmwaaW||1907
statements,agent,statement,8Qa3rC7h,,Éditions Durand,7tdgMgre|dtkJhYLf|1908
