category,faam_property,type,value,base_url,label
metadata,label,string,Fromental Halévy,,
metadata,label,string,Fromental Halévy,,
metadata,description,string,French composer,,
metadata,nodegoat_id,id,15995945,,
metadata,aliases,string,Fromental Halevy,,
metadata,aliases,string,Jacques François Elias Halévy,,
metadata,aliases,string,Fromental Halévy,,
metadata,qid,externalid,Q313917,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,95257808,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/40914,https://rism.online/,
statements,IMSLP ID,externalid,"Category:Halévy,_Fromental",https://imslp.org/wiki/,
statements,date of birth,date,1799-05-27,,
statements,date of death,date,1862-03-17,,
statements,instance of,item,ZwquHrbe,,human
statements,role,item,fkHJwpoD,,composer
statements,related to,item,MaWnCnVw,,arrangement
statements,occupation,item,KZLqHwSf,,composer
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,Eqo9Fq2n,,France
statements,place of birth,item,NTVdRo4W,,Paris
statements,place of birth,item,6N4ujZjm,,former 7th arrondissement of Paris
statements,place of death,item,6mMRUM8J,,Nice
statements,influenced by,item,oNn8afy6,,
statements,influenced by,item,NZyRvv74,,Henri Montan Berton
statements,influenced by,item,bYnCgWLM,,Étienne Méhul
statements,influenced by,item,FbNe7Pgk,,Luigi Cherubini
statements,influenced by,item,kxmQq6b5,,
statements,educated at,item,NA5EnjbE,,Conservatoire de Paris
statements,employer,item,NA5EnjbE,,Conservatoire de Paris
