category,faam_property,type,value,qualifiers,base_url
metadata,label,string,Rhapsody in blue,,
metadata,description,string,,,
metadata,id,id,UYXqd6VW,,
metadata,nodegoat_id,id,15992534,,
metadata,FAAM manifestation ID,id,KCA-0309044064458,,
metadata,call number,string,UM-TP-GERSH-rhapsod-1,,
metadata,score format,item,mrQyCLJX,,
metadata,score complexity,item,iTQMfTAE,,
statements,date,date,1927,,
statements,editorial annotation,item,J6ERsasy,,
statements,editorial annotation,item,CPJ2a2C2,,
statements,editorial annotation,item,WtvibJFF,,
statements,editorial annotation,item,WuWcWk4u,,
statements,editorial annotation,item,WT9AcUBt,,
statements,editorial annotation,item,9dz9ydpz,,
statements,editorial annotation,item,NsEoE4RP,,
statements,editorial annotation,item,YCgBhPNn,,
statements,editorial annotation,item,Di2mC26w,,
statements,editorial annotation,item,NFazQXR2,,
statements,handwritten annotation,item,aCRY7SgN,,
statements,handwritten annotation,item,Wpq9sxzm,,
statements,handwritten annotation,item,6cyBEJLr,,
statements,handwritten annotation,item,YWfofDz3,,
statements,provenance,item,6vrn9seu,,
statements,keyword,item,M9HRWrxt,,
statements,keyword,item,hCL8ZYQY,,
statements,keyword,item,G5pwZLWh,,
statements,instrumentation,item,GoXpNrsh,,
statements,musical work,item,ALxZyw3o,,
statements,agent,statement,GwJt3vGU,fkHJwpoD||,
statements,agent,statement,3NyookEG,GoiPpGap||,
statements,agent,statement,TYRfydcx,GBgJfRbK|GDeKaNeC|1927,
statements,role,item,fkHJwpoD,,
statements,role,item,GoiPpGap,,
statements,role,item,GBgJfRbK,,
statements,place,item,GDeKaNeC,,
resources,thumb,image,KCA-0309044064458.gif,,../assets/images/thumbs/
