category,faam_property,type,value,qualifiers,base_url
metadata,label,string,Le Retour de la Fauvette,,
metadata,description,string,,,
metadata,id,id,UZmNdakp,,
metadata,nodegoat_id,id,16005361,,
metadata,FAAM manifestation ID,id,ORP-20143703p2,,
metadata,call number,string,KTS1 H.11.map.003,,
metadata,score format,item,mrQyCLJX,,
metadata,score complexity,item,iTQMfTAE,,
statements,handwritten annotation,item,5fpte3tE,,
statements,handwritten annotation,item,6cyBEJLr,,
statements,provenance,item,TrYWxDhL,,
statements,related item,item,ky3vXHxz,,
statements,keyword,item,RHxmTGG2,,
statements,instrumentation,item,GoXpNrsh,,
statements,agent,statement,GZ7PUYBw,fkHJwpoD||,
statements,agent,statement,3NyookEG,GoiPpGap||,
statements,agent,statement,BkX9pctu,GBgJfRbK|9k2MygHr|,
statements,role,item,fkHJwpoD,,
statements,role,item,GoiPpGap,,
statements,role,item,GBgJfRbK,,
statements,place,item,9k2MygHr,,
resources,thumb,image,ORP-20143703p2.gif,,../assets/images/thumbs/
