category,faam_property,type,value,base_url,label
metadata,label,string,Henry-George d'Hoedt,,
metadata,label,string,Henry-George d'Hoedt,,
metadata,description,string,Belgian conductor (1885-1936),,
metadata,nodegoat_id,id,16002353,,
metadata,aliases,string,Henry George D'Hoedt,,
metadata,aliases,string,Henry Georges D'Hoedt,,
metadata,aliases,string,Henry-George d'Hoedt,,
metadata,qid,externalid,Q2489860,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,77605354,https://viaf.org/viaf/,
statements,date of birth,date,1885-06-28,,
statements,date of death,date,1936-05-14,,
statements,instance of,item,ZwquHrbe,,human
statements,role,item,fkHJwpoD,,composer
statements,occupation,item,KZLqHwSf,,composer
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,QbfXawnE,,Belgium
statements,place of birth,item,nPpdkcAP,,Ghent
