category,faam_property,type,value,base_url,label
metadata,label,string,Nicolas Dalayrac,,
metadata,label,string,Nicolas Dalayrac,,
metadata,description,string,French musician and composer of comic operas (Muret 1753 - Paris 1809),,
metadata,id,id,W2HnH5EL,,
metadata,nodegoat_id,id,15996181,,
metadata,aliases,string,Nicolas d'Alayrac,,
metadata,aliases,string,Nicolas Alayrac,,
metadata,aliases,string,Nicolas Dalayrac,,
metadata,qid,externalid,Q952520,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,14869144,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/27764,https://rism.online/,
statements,IMSLP ID,externalid,"Category:Dalayrac,_Nicolas",https://imslp.org/wiki/,
statements,date of birth,date,1753-06-08,,
statements,date of death,date,1809-11-27,,
statements,instance of,item,ZwquHrbe,,human
statements,occupation,item,KZLqHwSf,,composer
statements,occupation,item,DhJCdBQn,,lawyer
statements,occupation,item,L62FzyiC,,military personnel
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,Eqo9Fq2n,,France
statements,place of birth,item,d2NPELEj,,Muret
statements,place of death,item,NTVdRo4W,,Paris
resources,image,image,Nicolas_Dalayrac.jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/,
