category,faam_property,type,value,label,qualifiers
metadata,label,string,Symphonie : à grand Orchestre,,
metadata,description,string,,,
metadata,nodegoat_id,id,15992633,,
metadata,FAAM manifestation ID,id,KCG-000743756,,
metadata,call number,string,II-29-(1),,
metadata,score format,item,g5WgfTuF,Parts,
metadata,score complexity,item,iTQMfTAE,Mechanical print,
statements,date,date,1858,,
statements,handwritten annotation,item,eviEKifd,dynamic,
statements,handwritten annotation,item,CPJ2a2C2,articulation,
statements,handwritten annotation,item,3ts8CrNB,musical phrasing,
statements,handwritten annotation,item,bsgSL8K5,Rehearsal letter,
statements,handwritten annotation,item,6cyBEJLr,fingering,
statements,handwritten annotation,item,9dz9ydpz,legato,
statements,handwritten annotation,item,MCVLnYka,espressivo,
statements,handwritten annotation,item,ULbwT6u4,dolce,
statements,handwritten annotation,item,Rg6UtZ34,ritardando,
statements,handwritten annotation,item,AeKhRWCB,tempo primo,
statements,handwritten annotation,item,EgH6igGS,signature,
statements,handwritten annotation,item,aCRY7SgN,accidental,
statements,handwritten annotation,item,Wpq9sxzm,solmization,
statements,handwritten annotation,item,3zoajAt8,rest measure count,
statements,handwritten annotation,item,XutP4SZN,chronometry,
statements,handwritten annotation,item,8Ki8U5U4,underline,
statements,handwritten annotation,item,4PAdXGNC,alternative melody,
statements,provenance,item,hQcqj8e8,Royal Conservatory of Ghent,
statements,keyword,item,mgrwHwTj,symphony,
statements,keyword,item,hCL8ZYQY,symphonic music,
statements,instrumentation,item,g7hgtzmM,orchestra,
statements,musical work,item,bvsGXZA9,Symphony No. 86,
statements,agent,statement,A3ZNZh4C,Karel Miry,2ZAuwsSp|8LdweD7c|1858
statements,agent,statement,iyd6gRcN,Joseph Haydn,fkHJwpoD||
statements,agent,statement,XV4xVK7r,N. Simrock,GBgJfRbK||
statements,role,item,2ZAuwsSp,conductor,
statements,role,item,fkHJwpoD,composer,
statements,role,item,GBgJfRbK,publishing company,
statements,place,item,8LdweD7c,Ghent,
