category,faam_property,type,value,base_url,label
metadata,label,string,Franz Xaver Gleichauf,,
metadata,description,string,,,
metadata,nodegoat_id,id,15996122,,
metadata,qid,externalid,Q55901814,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,74609029,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/30024163,https://rism.online/,
statements,IMSLP ID,externalid,"Category:Gleichauf,_Franz_Xaver",https://imslp.org/wiki/,
statements,date of birth,date,1801-01-01,,
statements,date of death,date,1856-01-01,,
statements,instance of,item,ZwquHrbe,,human
statements,occupation,item,PUmeYeCQ,,musician
statements,occupation,item,irSPevuD,,violinist
statements,occupation,item,KZLqHwSf,,composer
statements,occupation,item,PtM6pSux,,music arranger
statements,occupation,item,JoNf8FqJ,,music teacher
statements,sex or gender,item,VAnkqco6,,male
