category,faam_property,type,value,base_url
metadata,label,string,pedagogue,
metadata,label,string,pedagogue,
metadata,description,string,person working in the academic field of pedagogy,
metadata,nodegoat_id,id,15990892,
metadata,qid,externalid,Q1231865,http://wwww.wikidata.org/entity/
metadata,aliases,string,educationalist,
metadata,aliases,string,paedagogue,
metadata,aliases,string,pedagogist,
metadata,aliases,string,Pedagogue,
metadata,aliases,string,Educator,
metadata,aliases,string,educator,
metadata,aliases,string,pedagogue,
