category,faam_property,type,value,base_url,label
metadata,label,string,Missa Ave maris stella,,
metadata,description,string,,,
metadata,aliases,string,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,
metadata,nodegoat_id,id,16002713,,
statements,IMSLP ID,externalid,"Missa Ave maris stella (Victoria, Tomás Luis de)",https://imslp.org/wiki/,
statements,form of creative work,item,WWYhpBVq,,parody mass
statements,form of creative work,item,kNneakGU,,mass
statements,form of creative work,item,7UGJWsQF,,Marian hymn
statements,creator,item,ZpAqTJvQ,,Tomás Luis de Victoria
statements,adapted by,item,mK2saWSr,,Charles Bordes
