category,faam_property,type,value,qualifiers,base_url
metadata,label,string,Das wohltemperierte Klavier,,
metadata,description,string,,,
metadata,id,id,Zv5auZvQ,,
metadata,nodegoat_id,id,15992691,,
metadata,FAAM manifestation ID,id,KCA-030901767043,,
metadata,call number,string,MM-TP-BACH-wohltem-1,,
metadata,score format,item,mrQyCLJX,,
metadata,score complexity,item,iTQMfTAE,,
statements,date,date,1894,,
statements,editorial annotation,item,3Vvybq56,,
statements,editorial annotation,item,WT9AcUBt,,
statements,editorial annotation,item,J6ERsasy,,
statements,provenance,item,6vrn9seu,,
statements,musical work,item,B5MkJNa4,,
statements,agent,statement,CT372LTH,GoiPpGap||,
statements,agent,statement,QhRQ5LW9,fkHJwpoD||,
statements,agent,statement,Fu8WgmS4,45qo3Fj3||1894,
statements,role,item,GoiPpGap,,
statements,role,item,fkHJwpoD,,
statements,role,item,45qo3Fj3,,
resources,thumb,image,KCA-030901767043.gif,,../assets/images/thumbs/
