category,faam_property,type,value,base_url,label
metadata,label,string,Sonata K. 244,,
metadata,label,string,"Keyboard Sonata in B major, K.244",,
metadata,description,string,sonata by Domenico Scarlatti,,
metadata,id,id,aefpJXd2,,
metadata,nodegoat_id,id,16003637,,
metadata,aliases,string,Sonata K. 244,,
metadata,qid,externalid,Q67322083,http://wwww.wikidata.org/entity/,
statements,IMSLP ID,externalid,"Keyboard Sonata in B major, K.244 (Scarlatti, Domenico)",https://imslp.org/wiki/,
statements,VIAF ID,externalid,292638699,https://viaf.org/viaf/,
statements,form of creative work,item,E2chmtzQ,,sonata
statements,creator,item,Na5pMDjZ,,Domenico Scarlatti
statements,adapted by,item,YdWwzL5r,,Carl Czerny
