category,faam_property,type,value,base_url,label
metadata,label,string,Sonata K. 460,,
metadata,label,string,"Keyboard Sonata in C major, K.460",,
metadata,description,string,sonata by Domenico Scarlatti,,
metadata,id,id,afyoKku8,,
metadata,nodegoat_id,id,16003853,,
metadata,aliases,string,"Keyboard Sonata in C major, L.324",,
metadata,aliases,string,Sonata K. 460,,
metadata,qid,externalid,Q74594743,http://wwww.wikidata.org/entity/,
statements,IMSLP ID,externalid,"Keyboard Sonata in C major, K.460 (Scarlatti, Domenico)",https://imslp.org/wiki/,
statements,VIAF ID,externalid,294097365,https://viaf.org/viaf/,
statements,form of creative work,item,E2chmtzQ,,sonata
statements,creator,item,Na5pMDjZ,,Domenico Scarlatti
statements,adapted by,item,YdWwzL5r,,Carl Czerny
statements,adapted by,item,S2wjk8Yx,,Alessandro Longo
