category,faam_property,type,value,qualifiers,base_url
metadata,label,string,Zur Wiederbelebung der Mozart'schen Clavier-Concerte: Ein Wort der Anregung an die clavierspielende Welt,,
metadata,description,string,,,
metadata,id,id,bAKHQqJ7,,
metadata,nodegoat_id,id,16005037,,
metadata,FAAM manifestation ID,id,BSB-991082014769707356,,
metadata,call number,string,B.Sandb. 1486,,
metadata,score format,item,ifXZogMQ,,
metadata,score complexity,item,iTQMfTAE,,
statements,date,date,1891,,
statements,provenance,item,FDCuefHz,,
statements,keyword,item,FSduWvy5,,
statements,keyword,item,jArGUTgq,,
statements,keyword,item,Sdw2foGQ,,
statements,instrumentation,item,GoXpNrsh,,
statements,agent,statement,DaCzzraM,fkHJwpoD||,
statements,agent,statement,DaCzzraM,GBgJfRbK|GKcJxAtt|1891,
statements,role,item,fkHJwpoD,,
statements,role,item,GBgJfRbK,,
statements,place,item,GKcJxAtt,,
resources,thumb,image,BSB-991082014769707356.gif,,../assets/images/thumbs/
