category,faam_property,type,value,base_url,label
metadata,label,string,Hippolyte et Aricie,,
metadata,label,string,Hippolyte et Aricie,,
metadata,description,string,opera by Jean-Philippe Rameau,,
metadata,id,id,bTvBMC52,,
metadata,nodegoat_id,id,16000017,,
metadata,aliases,string,Hippolyte et Aricie,,
metadata,qid,externalid,Q1376211,http://wwww.wikidata.org/entity/,
statements,IMSLP ID,externalid,"Hippolyte_et_Aricie,_RCT_43_(Rameau,_Jean-Philippe)",https://imslp.org/wiki/,
statements,VIAF ID,externalid,179694867,https://viaf.org/viaf/,
statements,form of creative work,item,hxYumS2J,,opera
statements,creator,item,NTqtYmnQ,,Jean-Philippe Rameau
statements,adapted by,item,CFFWdJSJ,,Jean-Baptiste Weckerlin
statements,based on,item,G7EVpUPR,,
