category,faam_property,type,value,base_url,label
metadata,label,string,"Keyboard Sonata in C major, K.95",,
metadata,description,string,sonata by Domenico Scarlatti,,
metadata,aliases,string,"Keyboard Sonata in C major, L.358",,
metadata,aliases,string,Sonata K. 95,,
metadata,qid,externalid,Q67199921,http://wwww.wikidata.org/entity/,
metadata,nodegoat_id,id,16003487,,
statements,IMSLP ID,externalid,"Keyboard Sonata in C major, K.95 (Scarlatti, Domenico)",https://imslp.org/wiki/,
statements,VIAF ID,externalid,293039120,https://viaf.org/viaf/,
statements,form of creative work,item,RtkoMT89,,sonata
statements,creator,item,PXYCpRXf,,Domenico Scarlatti
statements,adapted by,item,kYgchVZr,,Louis Köhler
statements,adapted by,item,5VzqwoVR,,Louis Oesterle
statements,adapted by,item,NETLpz9B,,Adolphe Wouters
statements,adapted by,item,5gAsc3pE,,Alessandro Longo
statements,adapted by,item,jm4QpjVW,,Carl Czerny
