category,faam_property,type,value,base_url,label
metadata,label,string,Eram quasi agnus innocens,,
metadata,description,string,,,
metadata,aliases,string,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,
metadata,nodegoat_id,id,16002681,,
statements,IMSLP ID,externalid,"Eram quasi agnus innocens (Victoria, Tomás Luis de)",https://imslp.org/wiki/,
statements,form of creative work,item,ik3NwdWW,,motet
statements,form of creative work,item,BRFWyvXx,,responsory
statements,creator,item,ZpAqTJvQ,,Tomás Luis de Victoria
statements,adapted by,item,mK2saWSr,,Charles Bordes
