category,faam_property,type,value,qualifiers,base_url
metadata,label,string,Quatrième Solo Pour le Cor : avec Accompt d'Orchestre ou de Piano : OEuvre IIe,,
metadata,description,string,,,
metadata,id,id,chiLSusq,,
metadata,nodegoat_id,id,15992627,,
metadata,FAAM manifestation ID,id,KCG-000345310,,
metadata,call number,string,II412,,
metadata,score format,item,g5WgfTuF,,
metadata,score complexity,item,iTQMfTAE,,
statements,note,html,The original instrument oboe has been substituted.,,
statements,date,date,08-08-1871,,
statements,date,date,08-08-1871,,
statements,handwritten annotation,item,CFKULSen,,
statements,handwritten annotation,item,K9MgTT3J,,
statements,provenance,item,hQcqj8e8,,
statements,keyword,item,2FVr93JH,,
statements,keyword,item,6kwYh3HH,,
statements,instrumentation,item,VZE4bgeN,,
statements,instrumentation,item,WsKgSBQG,,
statements,instrumentation,item,4oyT6BBG,,
statements,instrumentation,item,5cucf8tb,,
statements,instrumentation,item,MV3uErvy,,
statements,instrumentation,item,4AUBYBXJ,,
statements,instrumentation,item,N3AKKugd,,
statements,agent,statement,Y6GQrAqk,fkHJwpoD||,
statements,agent,statement,3NyookEG,GoiPpGap|8LdweD7c|,
statements,agent,statement,dqzZNPaF,NgFpoygv|8LdweD7c|08-08-1871,
statements,agent,statement,dqzZNPaF,NgFpoygv|8LdweD7c|08-08-1871,
statements,role,item,fkHJwpoD,,
statements,role,item,GoiPpGap,,
statements,role,item,NgFpoygv,,
statements,role,item,NgFpoygv,,
statements,place,item,8LdweD7c,,
statements,place,item,8LdweD7c,,
statements,place,item,8LdweD7c,,
resources,thumb,image,KCG-000345310.gif,,../assets/images/thumbs/
