category,faam_property,type,value,base_url
metadata,label,string,Wrocław,
metadata,label,string,Wrocław,
metadata,description,string,"city in the Lower Silesian Voivodeship, southwestern Poland, and historical capital of Silesia",
metadata,id,id,cwxDpYRt,
metadata,nodegoat_id,id,94931,
metadata,qid,externalid,Q1799,http://wwww.wikidata.org/entity/
metadata,aliases,string,Wrocław,
metadata,aliases,string,Breslau,
metadata,aliases,string,Brassel,
metadata,aliases,string,Wroclaw,
metadata,aliases,string,Wratislavia,
statements,GeoNames ID,externalid,3081368,https://www.geonames.org/
statements,GeoNames ID,externalid,PL,https://www.geonames.org/
