category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,Ungarische Rhapsodie no. 12 : Klavier,,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,15992690,,,
metadata,FAAM manifestation ID,id,KCA-030904692388,,,
metadata,call number,string,MM-TP-LISZT-rapso12-1,,,
metadata,score format,item,ZQLNVHnN,,Polyphonic Parts,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,editorial annotation,item,6fQyHcwz,,accent,
statements,editorial annotation,item,eJhxFoas,,marcato,
statements,editorial annotation,item,mkCY9LDD,,tempo,
statements,editorial annotation,item,HKyA3Qzz,,dynamic,
statements,editorial annotation,item,eNyFmkHC,,fingering,
statements,editorial annotation,item,Jx8FMpyt,,brackets,
statements,editorial annotation,item,eSzqVmee,,crescendo,
statements,editorial annotation,item,GpNEm7nw,,engage pedal,
statements,editorial annotation,item,LQE77nqs,,release pedal,
statements,editorial annotation,item,amkJ6EBs,,cadenza,
statements,handwritten annotation,item,gb6MiJbD,,ink stamp,
statements,handwritten annotation,item,TUdHPWU8,,alternative melody,
statements,handwritten annotation,item,UJ57Ew5y,,musical phrasing,
statements,handwritten annotation,item,eNyFmkHC,,fingering,
statements,handwritten annotation,item,nQn3aXpr,,tempo rubato,
statements,handwritten annotation,item,2qoBxv5j,,performance practice,
statements,handwritten annotation,item,PprjdkHE,,vertical break,
statements,provenance,item,2C9Fy8H6,,Heritage Library Royal Conservatoire Antwerp,
statements,keyword,item,DsBHiL3K,,rhapsody,
statements,keyword,item,fCPKhUxw,,piano music,
statements,instrumentation,item,PyGNLcfw,,piano,
statements,musical work,item,mRF6cnDc,,"Hungarian Rhapsody No.12, S.244/12",
statements,agent,statement,6iVvX3mY,,Franz Liszt,YvQmwaaW||
statements,agent,statement,Xqd8kuF3,,Eugen d'Albert,6UPEJgTQ||
statements,agent,statement,X8CowJzi,,Schott Music,7tdgMgre|g9oYkZyL|
statements,agent,statement,2yHpmJQV,,Marinus de Jong,oMERLdSN|bSzLPudk|
