category,faam_property,type,value,label,qualifiers
metadata,label,string,"Méthode de chant : composée pour ses élèves (2e édition) / par José Melchior Gomis,...",,
metadata,description,string,,,
metadata,nodegoat_id,id,16004108,,
metadata,FAAM manifestation ID,id,BNF-430193363,,
metadata,call number,string,VM8 A-111,,
metadata,score format,item,ifXZogMQ,Music Treatise,
metadata,score complexity,item,iTQMfTAE,Mechanical print,
statements,date,date,1844,,
statements,editorial annotation,item,VMA2AmEN,performance practice,
statements,editorial annotation,item,TN2gP3Pq,Messa di voce,
statements,editorial annotation,item,3ts8CrNB,musical phrasing,
statements,editorial annotation,item,A4NPbBsi,ornament,
statements,editorial annotation,item,WtvibJFF,accent,
statements,editorial annotation,item,9dz9ydpz,legato,
statements,provenance,item,Y7xwGJo8,Bibliothèque nationale de France,
statements,keyword,item,Sdw2foGQ,music theory,
statements,keyword,item,Vm5DPnGE,vocal pedagogy,
statements,keyword,item,9farY66Z,music education,
statements,instrumentation,item,KJkThvsq,voice,
statements,instrumentation,item,GoXpNrsh,piano,
statements,agent,statement,7CVJQfN3,Éditions Richault,GBgJfRbK|GDeKaNeC|1844
statements,agent,statement,mzHxj2kW,José Melchor Gomis,fkHJwpoD||
statements,role,item,GBgJfRbK,publishing company,
statements,role,item,fkHJwpoD,composer,
statements,place,item,GDeKaNeC,Laboratoire de Chimie des Processus Biologiques,
