category,faam_property,type,value,base_url
metadata,label,string,Ouverture des Fêtes d'Hébé : ballet de Rameau / arrangée pour piano à 4 mains par Charles Poisot,
metadata,description,string,,
metadata,id,id,d9Mej7oi,
metadata,nodegoat_id,id,16004271,
metadata,FAAM manifestation ID,id,BNF-43222474s,
metadata,call number,string,VM7-12476,
metadata,score format,item,ifXZogMQ,
metadata,score complexity,item,iTQMfTAE,
statements,provenance,item,Y7xwGJo8,
statements,keyword,item,FSduWvy5,
statements,keyword,item,VfELcGKK,
statements,instrumentation,item,KJkThvsq,
statements,instrumentation,item,GoXpNrsh,
statements,role,item,fkHJwpoD,
statements,role,item,GBgJfRbK,
resources,thumb,image,BNF-43222474s.gif,../assets/images/thumbs/
