category,faam_property,type,value,label,qualifiers
metadata,label,string,"Suite (Menuett, Gavotte, Siciliano und Gigue) für Violine allein : op. 43",,
metadata,description,string,,,
metadata,nodegoat_id,id,16005034,,
metadata,FAAM manifestation ID,id,BSL-1677119489,,
metadata,call number,string,DMS 35695,,
metadata,score format,item,g5WgfTuF,Parts,
metadata,score complexity,item,iTQMfTAE,Mechanical print,
statements,date,date,1873,,
statements,editorial annotation,item,J6ERsasy,metronome mark,
statements,editorial annotation,item,e9t5BdLA,decrescendo,
statements,editorial annotation,item,UDva945b,crescendo,
statements,editorial annotation,item,WtvibJFF,accent,
statements,editorial annotation,item,HXG9NWiG,bowing,
statements,editorial annotation,item,Rxa2vGNJ,repeat sign,
statements,editorial annotation,item,euCa8A2S,string,
statements,editorial annotation,item,93vh2DpZ,largo,
statements,editorial annotation,item,iWuVLJam,rallentando,
statements,editorial annotation,item,6cyBEJLr,fingering,
statements,provenance,item,KuuXg9DS,Berlin State Library,
statements,keyword,item,FSduWvy5,early music,
statements,keyword,item,7U54uqaV,period composition,
statements,keyword,item,QFnkBYdA,string music,
statements,keyword,item,2FVr93JH,solo,
statements,keyword,item,4Ug7EdNp,suite,
statements,instrumentation,item,VZE4bgeN,violin,
statements,agent,statement,Y4Su8bEC,Ferdinand David,fkHJwpoD||
statements,agent,statement,oJV7Jiqq,"Fr. Kistner & C. F. W. Siegel, Musikverlag und Sortiment",GBgJfRbK|GKcJxAtt|1873
statements,role,item,fkHJwpoD,composer,
statements,role,item,GBgJfRbK,publishing company,
statements,place,item,GKcJxAtt,Leipzig,
