category,faam_property,type,value,qualifiers,base_url
metadata,label,string,Préludes : pour piano,,
metadata,description,string,,,
metadata,id,id,eugMw9AU,,
metadata,nodegoat_id,id,15992533,,
metadata,FAAM manifestation ID,id,KCA-030903755269,,
metadata,call number,string,UM-TP-GERSH-prelu-1,,
metadata,score format,item,mrQyCLJX,,
metadata,score complexity,item,iTQMfTAE,,
statements,date,date,1927,,
statements,editorial annotation,item,J6ERsasy,,
statements,editorial annotation,item,WT9AcUBt,,
statements,editorial annotation,item,NsEoE4RP,,
statements,editorial annotation,item,gnFRixHz,,
statements,editorial annotation,item,WtvibJFF,,
statements,editorial annotation,item,YCgBhPNn,,
statements,editorial annotation,item,Di2mC26w,,
statements,editorial annotation,item,3WB3MVBB,,
statements,editorial annotation,item,9dz9ydpz,,
statements,editorial annotation,item,NFazQXR2,,
statements,handwritten annotation,item,jCuFYGDc,,
statements,handwritten annotation,item,6cyBEJLr,,
statements,handwritten annotation,item,eviEKifd,,
statements,handwritten annotation,item,e9t5BdLA,,
statements,handwritten annotation,item,VMA2AmEN,,
statements,handwritten annotation,item,YWfofDz3,,
statements,handwritten annotation,item,bZxRjBKt,,
statements,provenance,item,6vrn9seu,,
statements,related item,item,67xzWFPr,,
statements,related item,item,ZvSPPzQL,,
statements,related item,item,Y6HoJnxP,,
statements,related item,item,8hLz8qEJ,,
statements,related item,item,gnFRixHz,,
statements,keyword,item,UGSpFRmF,,
statements,keyword,item,Cud74GBt,,
statements,keyword,item,jvhZafsd,,
statements,instrumentation,item,GoXpNrsh,,
statements,musical work,item,eGRyV3MB,,
statements,agent,statement,GwJt3vGU,fkHJwpoD||,
statements,agent,statement,3NyookEG,GoiPpGap||,
statements,agent,statement,TYRfydcx,GBgJfRbK|GDeKaNeC|1927,
statements,role,item,fkHJwpoD,,
statements,role,item,GoiPpGap,,
statements,role,item,GBgJfRbK,,
statements,place,item,GDeKaNeC,,
resources,thumb,image,KCA-030903755269.gif,,../assets/images/thumbs/
