category,faam_property,type,value,base_url,label
metadata,label,string,Horn Sonata,,
metadata,label,string,"Horn Sonata, Op.17",,
metadata,description,string,composition for French horn and piano by Ludwig van Beethoven,,
metadata,nodegoat_id,id,16002504,,
metadata,aliases,string,"Sonata for Horn and Piano in F Major, Op. 17",,
metadata,aliases,string,Horn Sonata,,
metadata,qid,externalid,Q5903984,http://wwww.wikidata.org/entity/,
statements,IMSLP ID,externalid,"Horn Sonata, Op.17 (Beethoven, Ludwig van)",https://imslp.org/wiki/,
statements,form of creative work,item,E2chmtzQ,,sonata
statements,creator,item,98W5cKAM,,Ludwig van Beethoven
