category,faam_property,type,value,base_url,label
metadata,label,string,"Keyboard Sonata in D major, K.96",,
metadata,description,string,sonata by Domenico Scarlatti,,
metadata,aliases,string,"Keyboard Sonata in D major, L.465",,
metadata,aliases,string,Sonata K. 96,,
metadata,qid,externalid,Q67199923,http://wwww.wikidata.org/entity/,
metadata,nodegoat_id,id,16003488,,
statements,IMSLP ID,externalid,"Keyboard Sonata in D major, K.96 (Scarlatti, Domenico)",https://imslp.org/wiki/,
statements,VIAF ID,externalid,181668778,https://viaf.org/viaf/,
statements,form of creative work,item,RtkoMT89,,sonata
statements,creator,item,PXYCpRXf,,Domenico Scarlatti
statements,adapted by,item,AaF6WQEA,,Hans von Bülow
statements,adapted by,item,5gAsc3pE,,Alessandro Longo
statements,adapted by,item,agWvDDr6,,Vincent d'Indy
statements,adapted by,item,Vp4ucERe,,Thomas Dunhill
statements,adapted by,item,jm4QpjVW,,Carl Czerny
