category,faam_property,type,value,base_url,label
metadata,label,string,Sonata K. 445,,
metadata,label,string,"Keyboard Sonata in F major, K.445",,
metadata,description,string,sonata by Domenico Scarlatti,,
metadata,id,id,gEN734Le,,
metadata,nodegoat_id,id,16003838,,
metadata,aliases,string,"Keyboard Sonata in F major, L.385",,
metadata,aliases,string,Sonata K. 445,,
metadata,qid,externalid,Q78243822,http://wwww.wikidata.org/entity/,
statements,IMSLP ID,externalid,"Keyboard Sonata in F major, K.445 (Scarlatti, Domenico)",https://imslp.org/wiki/,
statements,VIAF ID,externalid,293173953,https://viaf.org/viaf/,
statements,form of creative work,item,E2chmtzQ,,sonata
statements,creator,item,Na5pMDjZ,,Domenico Scarlatti
statements,adapted by,item,S2wjk8Yx,,Alessandro Longo
statements,adapted by,item,YdWwzL5r,,Carl Czerny
