category,faam_property,type,value,qualifiers,base_url
metadata,label,string,"Twenty elementary and progressive vocalises : op. 15bis : with Italian words : for the medium of the voice, the same transposed for alto",,
metadata,description,string,,,
metadata,id,id,gExqjHj7,,
metadata,nodegoat_id,id,16004260,,
metadata,FAAM manifestation ID,id,UTL-31763973,,
metadata,call number,string,MT885 .M324 op.15 1899,,
metadata,score format,item,ifXZogMQ,,
metadata,score complexity,item,iTQMfTAE,,
statements,date,date,1899,,
statements,editorial annotation,item,UDva945b,,
statements,editorial annotation,item,e9t5BdLA,,
statements,editorial annotation,item,VMA2AmEN,,
statements,editorial annotation,item,RePdmToB,,
statements,editorial annotation,item,AeKhRWCB,,
statements,editorial annotation,item,Skma2JzR,,
statements,editorial annotation,item,iWuVLJam,,
statements,editorial annotation,item,UfinksVv,,
statements,editorial annotation,item,A4NPbBsi,,
statements,provenance,item,PmoGKNnr,,
statements,keyword,item,Sdw2foGQ,,
statements,keyword,item,Vm5DPnGE,,
statements,keyword,item,9farY66Z,,
statements,instrumentation,item,KJkThvsq,,
statements,instrumentation,item,GoXpNrsh,,
statements,agent,statement,Uwh7FiEg,GBgJfRbK|S9sBVZme|1899,
statements,agent,statement,9fwBjteP,fkHJwpoD||,
statements,role,item,GBgJfRbK,,
statements,role,item,fkHJwpoD,,
statements,place,item,S9sBVZme,,
resources,thumb,image,UTL-31763973.gif,,../assets/images/thumbs/
