category,faam_property,type,value,base_url,label,qualifiers
metadata,label,string,9 Tenor-Arien : aus versch. Cantaten ; mit Begl. d. Pianoforte,,,
metadata,description,string,,,,
metadata,qid,externalid,,http://wwww.wikidata.org/entity/,,
metadata,nodegoat_id,id,16004330,,,
metadata,FAAM manifestation ID,id,BSB-991076576549707356,,,
metadata,call number,string,4 Mus.pr. 16028,,,
metadata,score format,item,XyayZhMR,,Full Score,
metadata,score complexity,item,WJHHh56W,,Mechanical print,
statements,sections,html,"<ol>
<li> Wer Dank opfert, der preiset mich </li>
<li> Wo soll ich fliehen hin</li>
<li> Wie schön leuchtet der Morgenstern</li>
<li> Herr, ween die stolzen Feinde schnauben</li>
<li> Liebster Gott, wenn werd ich sterben?</li>
<li> Fallt mit Danken, fallt mit Loben</li>
<li> Ich hatte viel Bekümmernis</li>
<li> Schwingt freudig euch empor</li>
<li> Ach wie flüchtig, ach wie nichtig</li>
</ol>",,,
statements,editorial annotation,item,LtW88Gtx,,realization of figured bass,
statements,editorial annotation,item,eSzqVmee,,crescendo,
statements,editorial annotation,item,SRaiiKJr,,decrescendo,
statements,editorial annotation,item,UJ57Ew5y,,musical phrasing,
statements,editorial annotation,item,7WfWytMV,,ritenuto,
statements,editorial annotation,item,D6RjeTWv,,musical expression,
statements,provenance,item,KkB2M6Gx,,Bavarian State Library,
statements,keyword,item,QELJUJBf,,church cantata,
statements,keyword,item,Gx3B7DJH,,early music,
statements,keyword,item,fsof5n4h,,aria,
statements,keyword,item,gKMU7J89,,realization of figured bass,
statements,instrumentation,item,4YzWbco5,,tenor,
statements,instrumentation,item,PyGNLcfw,,piano,
statements,instrumentation,item,NFAxdnVA,,voice,
statements,musical work,item,VKDKaHxK,,"Wer Dank opfert, der preiset mich, BWV 17",
statements,musical work,item,4prauUD7,,"Wo soll ich fliehen hin, BWV 5",
statements,musical work,item,SucFma9H,,"Wie schön leuchtet der Morgenstern, BWV 1",
statements,musical work,item,LM3zhFco,,"Weihnachtsoratorium, BWV 248",
statements,musical work,item,5ZsKGs6i,,"Liebster Gott, wenn werd ich sterben?, BWV 8",
statements,musical work,item,4gShDXey,,"Ich hatte viel Bekümmernis, BWV 21",
statements,musical work,item,kcYzpAVp,,"Schwingt freudig euch empor, BWV 36",
statements,musical work,item,285bADZE,,"Ach wie flüchtig, ach wie nichtig, BWV 26",
statements,agent,statement,GecAsFfL,,Johann Sebastian Bach,YvQmwaaW||
statements,agent,statement,T4UPmCxj,,Robert Franz,6UPEJgTQ||
statements,agent,statement,a6WmY75X,,Friedrich Whistling,7tdgMgre|4GU7NjmQ|1860
