category,faam_property,type,value,base_url,label
metadata,label,string,Alphonse Leduc,,
metadata,label,string,Alphonse Leduc,,
metadata,description,string,French musician and publisher,,
metadata,id,id,ghFBmNbP,,
metadata,nodegoat_id,id,16003988,,
metadata,aliases,string,Alphonse Leduc,,
metadata,qid,externalid,Q50333026,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,59289373,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/30072043,https://rism.online/,
statements,IMSLP ID,externalid,"Category:Leduc,_Alphonse",https://imslp.org/wiki/,
statements,date of birth,date,1804-03-09,,
statements,date of death,date,1868-06-17,,
statements,instance of,item,ZwquHrbe,,human
statements,instance of,item,2fXfbLCV,,music publishing company
statements,role,item,GBgJfRbK,,publishing company
statements,related to,item,MaWnCnVw,,arrangement
statements,related to,item,HwcYgL5C,,salon music
statements,occupation,item,9joWzZuU,,opera composer
statements,occupation,item,PUmeYeCQ,,musician
statements,occupation,item,KZLqHwSf,,composer
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,Eqo9Fq2n,,France
statements,place of birth,item,g8fQXctT,,Nantes
statements,place of birth,item,NTVdRo4W,,Paris
statements,place of death,item,NTVdRo4W,,Paris
statements,instrument,item,MV3uErvy,,flute
statements,influenced by,item,oJGctqdB,,Anton Reicha
statements,influenced by,item,aMC7t5f5,,
statements,educated at,item,NA5EnjbE,,Conservatoire de Paris
resources,image,image,Alphonse_Leduc_by_Adolphe_Menut.png,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/,
