category,faam_property,type,value,base_url,label
metadata,label,string,Johann Christoph Bach III,,
metadata,description,string,Organist in Ohrdruf,,
metadata,id,id,gu5zJXVr,,
metadata,nodegoat_id,id,0,,
metadata,qid,externalid,Q1862395,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,277822,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/30017037,https://rism.online/,
statements,date of birth,date,1671-06-16,,
statements,date of death,date,1721-02-22,,
statements,instance of,item,ZwquHrbe,,human
statements,occupation,item,PGamAZRD,,organist
statements,occupation,item,KZLqHwSf,,composer
statements,occupation,item,UuMrn3b8,,cantor
statements,occupation,item,PUmeYeCQ,,musician
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,oDvJJJ7G,,Germany
statements,place of birth,item,gAsXeyQR,,Erfurt
statements,place of death,item,DvPLbL4h,,Ohrdruf
statements,instrument,item,RXg4snEH,,organ
statements,influenced by,item,25N4d8pj,,
resources,image,image,,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/,
