category,faam_property,type,value,qualifiers,base_url
metadata,label,string,Traité d'Harmonisation du Chant Gregorien,,
metadata,description,string,,,
metadata,id,id,hFSRR6it,,
metadata,nodegoat_id,id,15992715,,
metadata,FAAM manifestation ID,id,KCA-KGR9426,,
metadata,call number,string,KGR,,
metadata,score format,item,ifXZogMQ,,
metadata,score complexity,item,iTQMfTAE,,
statements,date,date,1910,,
statements,editorial annotation,item,AzBrFumG,,
statements,editorial annotation,item,3ts8CrNB,,
statements,editorial annotation,item,VMA2AmEN,,
statements,provenance,item,6vrn9seu,,
statements,keyword,item,Sdw2foGQ,,
statements,keyword,item,NWa3Za2Y,,
statements,keyword,item,jTMjFsDj,,
statements,instrumentation,item,KJkThvsq,,
statements,agent,statement,d97ewwH5,fkHJwpoD||,
statements,agent,statement,2iEMYDHb,GBgJfRbK|LNDqDQov|1910,
statements,role,item,fkHJwpoD,,
statements,role,item,GBgJfRbK,,
statements,place,item,LNDqDQov,,
resources,thumb,image,KCA-KGR9426.gif,,../assets/images/thumbs/
