category,faam_property,type,value,base_url,label
metadata,label,string,Girolamo Crescentini,,
metadata,label,string,Girolamo Crescentini,,
metadata,description,string,Italian singer castrato,,
metadata,id,id,hVCbmjig,,
metadata,nodegoat_id,id,16005713,,
metadata,aliases,string,Jerôme Crescentini,,
metadata,aliases,string,Girolamo Crescentini,,
metadata,qid,externalid,Q552124,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,69194100,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/73192,https://rism.online/,
statements,IMSLP ID,externalid,"Category:Crescentini,_Girolamo",https://imslp.org/wiki/,
statements,date of birth,date,1762-02-02,,
statements,date of birth,date,1766-02-02,,
statements,date of death,date,1846-04-24,,
statements,instance of,item,ZwquHrbe,,human
statements,role,item,fkHJwpoD,,composer
statements,related to,item,Vm5DPnGE,,vocal pedagogy
statements,related to,item,Z2VUu6Sy,,virtuoso
statements,occupation,item,KZLqHwSf,,composer
statements,occupation,item,n9MN9cLo,,opera singer
statements,occupation,item,6XD3homi,,music educator
statements,occupation,item,Hp4qpv4g,,sopranist
statements,occupation,item,CZBEWbJe,,maestro
statements,occupation,item,fkNftdFp,,singer
statements,sex or gender,item,VAnkqco6,,male
statements,place of birth,item,jUDf9xBm,,Urbania
statements,place of death,item,RjXv6xhJ,,Naples
statements,instrument,item,KJkThvsq,,voice
statements,influenced by,item,LnD5H7E8,,
resources,image,image,Girolamo_Crescentini.jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/,
resources,image,image,Anonimo_Girolamo_Crescentini.JPG,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/,
