category,faam_property,type,value,base_url,label
metadata,label,string,Joseph Daussoigne-Méhul,,
metadata,description,string,French composer (1790-1875),,
metadata,nodegoat_id,id,0,,
metadata,qid,externalid,Q1706833,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,24867162,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/282215,https://rism.online/,
statements,IMSLP ID,externalid,"Category:Daussoigne-Méhul,_Joseph",https://imslp.org/wiki/,
statements,date of birth,date,1790-06-10,,
statements,date of death,date,1875-03-10,,
statements,instance of,item,ZwquHrbe,,human
statements,occupation,item,KZLqHwSf,,composer
statements,occupation,item,RHfvaKqY,,pianist
statements,occupation,item,6XD3homi,,music educator
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,Eqo9Fq2n,,France
statements,place of birth,item,V8YN5wKK,,Givet
statements,place of death,item,oAADJcBU,,Liège
statements,instrument,item,GoXpNrsh,,piano
statements,influenced by,item,DrKGPaTi,,
statements,influenced by,item,UHhyCQcS,,Charles-Simon Catel
statements,influenced by,item,bYnCgWLM,,Étienne Méhul
statements,educated at,item,NA5EnjbE,,Conservatoire de Paris
statements,employer,item,NA5EnjbE,,Conservatoire de Paris
