category,faam_property,type,value,base_url,label
metadata,label,string,Niccolò Antonio Zingarelli,,
metadata,description,string,Italian composer (1752–1837),,
metadata,nodegoat_id,id,0,,
metadata,qid,externalid,Q505202,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,103646708,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/100966,https://rism.online/,
statements,IMSLP ID,externalid,"Category:Zingarelli,_Niccolò_Antonio",https://imslp.org/wiki/,
statements,date of birth,date,1752-04-04,,
statements,date of death,date,1837-05-05,,
statements,instance of,item,ZwquHrbe,,human
statements,occupation,item,KZLqHwSf,,composer
statements,occupation,item,2KT5AU2p,,conductor
statements,occupation,item,YYyZX3aY,,musicologist
statements,occupation,item,PGamAZRD,,organist
statements,occupation,item,L7bRkYff,,chapelmaster
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,jJuQM73X,,
statements,place of birth,item,RjXv6xhJ,,Naples
statements,place of death,item,6dCV47Ss,,Torre del Greco
statements,instrument,item,RXg4snEH,,organ
statements,influenced by,item,hZNMi7Wf,,
statements,influenced by,item,ihSwXZAp,,
