category,faam_property,type,value,base_url,label
metadata,label,string,Jean d'Udine,,
metadata,label,string,Jean d'Udine,,
metadata,description,string,French composer and musicologist (1870-1938),,
metadata,id,id,jRx8dPj5,,
metadata,nodegoat_id,id,16005352,,
metadata,aliases,string,Albert Cozanet,,
metadata,aliases,string,Jean d'Udine,,
metadata,qid,externalid,Q66023745,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,79203304,https://viaf.org/viaf/,
statements,IMSLP ID,externalid,"Category:Udine,_Jean_d'",https://imslp.org/wiki/,
statements,date of birth,date,1870-07-01,,
statements,date of death,date,1938-05-09,,
statements,instance of,item,ZwquHrbe,,human
statements,occupation,item,KZLqHwSf,,composer
statements,occupation,item,YYyZX3aY,,musicologist
statements,occupation,item,DhJCdBQn,,lawyer
statements,occupation,item,TUzr8QkF,,art critic
statements,occupation,item,WF4NSijn,,poet
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,Eqo9Fq2n,,France
statements,place of birth,item,bQMGbvhL,,Landivisiau
statements,place of death,item,HZJV4pgr,,17th arrondissement of Paris
resources,image,image,,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/,
