category,faam_property,type,value,base_url,label
metadata,label,string,Henri Quittard,,
metadata,label,string,Henri Quittard,,
metadata,description,string,"French composer, musicologist and music critic",,
metadata,id,id,jgtKXkgw,,
metadata,nodegoat_id,id,16004366,,
metadata,aliases,string,Henri Quittard,,
metadata,qid,externalid,Q15407244,http://wwww.wikidata.org/entity/,
statements,VIAF ID,externalid,74116366,https://viaf.org/viaf/,
statements,RISM ID,externalid,people/30029041,https://rism.online/,
statements,IMSLP ID,externalid,"Category:Quittard,_Henri_Charles_Etienne",https://imslp.org/wiki/,
statements,date of birth,date,1864-05-16,,
statements,date of death,date,1919-07-21,,
statements,instance of,item,ZwquHrbe,,human
statements,role,item,45qo3Fj3,,music editor
statements,related to,item,FSduWvy5,,early music
statements,occupation,item,KZLqHwSf,,composer
statements,occupation,item,YYyZX3aY,,musicologist
statements,occupation,item,Mk6HJN99,,music critic
statements,sex or gender,item,VAnkqco6,,male
statements,nationality,item,Eqo9Fq2n,,France
statements,place of birth,item,DuikDHDP,,Clermont-Ferrand
statements,place of death,item,NTVdRo4W,,Paris
statements,influenced by,item,eShK9Xad,,César Franck
statements,educated at,item,YNT9Zryt,,Lycée Carnot
resources,image,image,,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/,
