category,faam_property,type,value,qualifiers,base_url
metadata,label,string,"Kantate Nr. 60. O Ewigkeit, du Donnerwort",,
metadata,description,string,,,
metadata,id,id,kYbLXEaa,,
metadata,nodegoat_id,id,15992777,,
metadata,FAAM manifestation ID,id,ORP-20140284b,,
metadata,call number,string,KTS1 C2.60 Map.021b,,
metadata,score format,item,ktjyHrtb,,
metadata,score complexity,item,iTQMfTAE,,
statements,date,date,1863,,
statements,date,date,1891,,
statements,editorial annotation,item,J6ERsasy,,
statements,editorial annotation,item,eviEKifd,,
statements,editorial annotation,item,UDva945b,,
statements,editorial annotation,item,e9t5BdLA,,
statements,editorial annotation,item,WtvibJFF,,
statements,handwritten annotation,item,JnGFsz6r,,
statements,handwritten annotation,item,gpdFtfXA,,
statements,handwritten annotation,item,VMA2AmEN,,
statements,handwritten annotation,item,YWfofDz3,,
statements,handwritten annotation,item,RePdmToB,,
statements,handwritten annotation,item,9dz9ydpz,,
statements,handwritten annotation,item,SnxsnGvi,,
statements,provenance,item,TrYWxDhL,,
statements,keyword,item,FSduWvy5,,
statements,keyword,item,M9HRWrxt,,
statements,keyword,item,MaWnCnVw,,
statements,keyword,item,EWh47JQF,,
statements,keyword,item,Gz3LUkC5,,
statements,keyword,item,jTMjFsDj,,
statements,instrumentation,item,KJkThvsq,,
statements,instrumentation,item,GoXpNrsh,,
statements,musical work,item,UieHeowD,,
statements,agent,statement,nwj4tnGi,GBgJfRbK|GKcJxAtt|1863,
statements,agent,statement,3NyookEG,GoiPpGap||,
statements,agent,statement,QhRQ5LW9,fkHJwpoD||,
statements,agent,statement,XVpibGGu,GBgJfRbK|GKcJxAtt|1891,
statements,role,item,GBgJfRbK,,
statements,role,item,GoiPpGap,,
statements,role,item,fkHJwpoD,,
statements,role,item,GBgJfRbK,,
statements,place,item,GKcJxAtt,,
statements,place,item,GKcJxAtt,,
resources,thumb,image,ORP-20140284b.gif,,../assets/images/thumbs/
