category,faam_property,type,value,qualifiers,base_url
metadata,label,string,"Toni Communes Officii. Psaumes, Versets, Bededicamus, etc. d'après l'Edition Vaticane. Avec Accompagnement d'Orgue",,
metadata,description,string,,,
metadata,id,id,m9EkCzBS,,
metadata,nodegoat_id,id,16005697,,
metadata,FAAM manifestation ID,id,DPF-202502046,,
metadata,call number,string,not available,,
metadata,score format,item,mrQyCLJX,,
metadata,score complexity,item,iTQMfTAE,,
statements,editorial annotation,item,AzBrFumG,,
statements,provenance,item,T7T22EAb,,
statements,keyword,item,NWa3Za2Y,,
statements,keyword,item,jTMjFsDj,,
statements,keyword,item,eCYL2PkE,,
statements,instrumentation,item,5yLc7bQJ,,
statements,instrumentation,item,KJkThvsq,,
statements,instrumentation,item,RXg4snEH,,
statements,agent,statement,UWzFEZoL,45qo3Fj3||,
statements,agent,statement,CbtAbQDg,NgFpoygv||,
statements,role,item,45qo3Fj3,,
statements,role,item,NgFpoygv,,
resources,thumb,image,DPF-202502046.gif,,../assets/images/thumbs/
